,NAME,PHONE NO,COMPANY ORG,LOCATION,BIZ ADDRESS,SHARE CAPITAL,EMAIL,SECTOR,PRODUCT/SERVICES,NO OF EMPLOYEES,TURNOVER
,CODIFY LAB & SERVICES LTD,234(0)8027247097,,Lagos,"No. 2, Joel Ogunnaike Street G.R.A",,codifylabsltd@gmail.com,Other Service Activities ,"Sales, Supply And Maintenance Of Laboratory Equipment, Medical Equipment, Surgical Equipment, Hospital Equipment And Distribution",,
,CHIBUEZE TECHNICAL SERVICES LTD,234(0)7035784798,,Abia,No. 219 Tenant Road Aba,,chibuezetechnicalservices@yahoo.com,Other Service Activities ,Chillers Refirigerators And Air Conditions Installation And Maintenance Services,,
,TREMENDOC LIMITED,234(0)9098586920,,Lagos,"5A, Ayinde Akinmade Street Lekki Peninsular Scheme 1",,support@tremendoc.com; jay@tremendoc.com,Other Service Activities ,"Online doctor on demand for connecting patients real time to a licensed doctors who can consult, recommend, test and diagnose on a wide range of treatments.",,
,SIDON MEDIA LIMITED,234(0)8149570888,,Lagos,"17B, Da-Silva Street Lekki Phase 1",,simeon@myadsapp.com,Other Service Activities ,Mobile Applications,,
,SERVERSIDE DIGITAL IDEAS LIMITED,234(0)8023220790,,Lagos,"1, Deji Omoowo Street Off Olowora Road",,oladele.olawuyi@serverside.ng,Other Service Activities ,Digital marketing,,
,"JUSTICE, DEVELOPMENT AND PEACE COMMISSION (JDPC)",234(0)8033512299,,Ogun,"Gra, Ijebu Ode",,iretiadisu@yahoo.com,Other Service Activities ,"Democracy & Human Rights,Micro Credit, Integrated Development, Welfare & Caritas, Women Development & Child Rights",,
,SHOP ONLINE AFRICAN ART COLLECTION LTD,234(0)9054453539,,Lagos,Suite 4F Sulara Shopping Complex Ajah-Lekki,,ceo@africanartcollection.shop; info@africanartcollection.sho,Other Service Activities ,African Art Collection And Sales Both Local And International Online,,
,VICTORIA CHAMBERS,234(1)2915051,,Lagos,"Pent House, No. 13 Ikogosi Close Osborne Foreshore",,tosan.aiboni@victoriachambers.com.ng,Other Service Activities ,"Provision Of Legal, Secretariat, Governance Support To Client Companies And Organizations",,
,LOGIMATIX NIGERIA LIMITED,234(0)8020523779,,Lagos,No 1C Park Close Ocean Bay Estate,,logimatixnigerialimited@gmail.com,Other Service Activities ,Equipment Supply And Services / General Supply,,
,ROSAT TECHNOLOGIES NIGERIA LIMITED,234(0)8167699935,,Lagos,"95, Omorinre Johnson Street Lekki Phase 1",,info@rosattechnologies.com,Other Service Activities ,website developers,,
,FRANEMM INDUSTRIES LIMITED,234(1)7743054,,Ogun,"Western Avenue, Riverview Estate, Ibadan Expressway, Isheri, Ogun State,",,info@franemm.com; hello@franemmindustriesltd.com,Other Service Activities ,"Manufacturing Of Cosmetics Products, Beauty Products, Hair Care Products",,
,OPHANIM SOLUTIONS,234(0)8053314632,,Lagos,No 4 Jibowu Street Jibowu,,chibuikegodfrey@yahoo.com,Information & Communication,"Hardware, Software And Allied Technology Services For Individuals And Organizations",,
,KOEMAN INTEGRATED SERVICES LIMITED,234(0)8034499328,,Lagos,Shogunle No. 583 Agege Motor Road Shogunle Bus Stop,,koemaninv@yahoo.co.uk; koemanits@yahoo.com,Other Service Activities ,"Supplies Medicine, Chemical Allied Products And Reagent Products Provides Laboratory Service",,
,VON BRIDGELAND LTD,234(0)8033242002,,Abia,Km 3 Aba/Enugu Expressway Osisioma-Aba,,vonbridgelandnigltd@yahoo.com,Construction,"Manufacturer Of Building Materials, Construction And Offering Aluminium Roofing Sheets, Fabrication Of Aluminium Windows And Doors",,
,DE CAD OUTSOURCING NIGERIA LIMITED,234(90)978352,,Lagos,"20Block Babatunde Anjous Street Off Admiralty Way, Lekki",,info@decadoutsourcing.com,Petroleum downstream,"Oil & Gas/Non-Oil & Gas Industries Services: 3D Laser Scanning Dimensional Control & 3D Modelling, Manpower Supply & Training, Qa/Qc Third Party Inspection,Project Construction Mgt, Vectorisation, Smart Plant Services, Feed/Detailed Engineering Design, Conceptual/Feasibility Studies",,
,RAXIDY SOLUTIONS LIMITED,234(0)8033591747,,Lagos,20B Babatunde Anjous Street Off Admiralty Way,,info@raxidyng.com; raphael.ayegba@raxidyng.com,Petroleum downstream,"Oil & Gas / Non-Oil & Gas Industries Services: 3D Laser Scanning, Dimensional Control & 3D Modelling, Manpower Supply & Training, Qa/Qc Third Party Inspection, Project Construction Mgt, Vectorisation, Smart Plant Services, Feed/Detailed Engineering Design, Conceptual/Feasibility Studies",,
,GRACE RESTORATION INTERNATIONAL,234(0)8035919124,,Lagos,31 Idimu Rd,,mfonarchibong@gmail.com,Other Service Activities , ,,
,MACO OFFSHORE ENGINEERING AND CONSTRUCTION LIMITED,234(1)4547908,,Lagos,"No. 292H, Ajose Adeogun Street",,info@macoffshore.org,Construction,Drilling And Marine Services,,
,NEEDS AND WANT NIGERIA LIMITED,234(0)8035429281,,Ogun,"No. 5, Kolawole Street Ijoko",,ceoife@gmail.com,Financial Services,Provision Of Financing Services,,
,DIGNUS SERVICES LIMITED,234(0)8090492199,,Lagos,17 Remi Fani Kayode,,adeyemi@dignusservices.com; fisayo@dignusservices.com,Other Service Activities , ,,
,SHOBBU BUSINESS SOLUTIONS LIMITED,234(0)9087110760,,Lagos,"22, Raymond Njoku Street Off Awolowo Road, Ikoyi",,adebari.adeola@gmail.com,Other Service Activities , ,,
,ALABI TREASURE LINK NIGERIA LIMITED,234(0)8023176641,,Lagos,224/225 Borno Way Ebute Metta,,info@alabitreasurelinks.com; alabi@alabitreasurelinks.com,Other Service Activities ,Industrial Refrigeration Equipment Sales And Maintenance,,
,BEINA MAINTENANCE & RELIABILITY SERVICES LTD,234(0)8070790160,,Lagos,"34, Mko Abiola Crescent Ikeja",,beinamaintenance&gmail.com,Other Service Activities ,Consultancy And Engineering Work,,
,PUREGOLD NIGERIA ENTERPRISES,234(0)8162624421,,Ogun,"Plot 8, Oluwasegun Aina Street Maff 44 Estate Arigbajo Ifo",,puregoldnigeriaenterprises@yahoo.com,Transport/storage,"Car Hire & Rentage Services, And General Merchant",,
,NACIO ENERGY LIMITED,234(0)9737606969,,Lagos,"14 Bosun Adekoya Street Hakeem Dickson Street, Oniru",,info@nacioenergyltd.com,Power,"Repair / Re-Engineering / Upgrades / Procurement / Re-Rates / Failure Analysis & Overhaul Services: All Makes And Types Of Man Power/Staff Training, Pipeline Intervention Services-Online Leak Sealing, Valves Etc., Pumps, Compressors, Electric Motors, Fire And Gas Detector, & M Services For Platforms/Oil & Gas Production Facility, Control Panels/Switch Gears. Hvac/ Instrumentation,Tank Washing/Calibration And Re-Certification",,
,ILLUMINARE GAME STUDIOS LIMITED,234(0)8054609427,,Lagos,"The Landmark, Km 24 Lekki-Epe Expressway",,tolu619@yahoo.com,Other Service Activities , ,,
,CLUEGATE LTD,234(0)8029097532,,Lagos,"12, Dipo Awolesi Street Magodo",,support@cluegate.com; letshail2017@gmail.com,Other Service Activities , ,,
,USHERSPLUS LIMITED,234(0)9099016029,,Lagos,"No. 33, Johnson Street, Surulere",,ushersplus@gmail.com,Other Service Activities , ,,
,TSI LIMITED,234(0)8033467639,,Ogun,"4, Akinpelu Street, Lagos-Ibadan Express Road Behind Femak Petrol, Ibafo Bus-Stop",,megaheads@gmail.com,Other Service Activities ,"Training, Research And Consultancy",,
,DASAMISUSUTEVOLI LIMITED,234(0)8171533008,,Lagos,"Road 2, House A52B Victoria Garfen City, Lekki - Ajah Expressway",,mail.nigeria@dsiv.net; c.daniel@dsiv.net,Construction,"Provide Marine And Offshore Support Using Our Partners Vessels For Offshore Jobs Haulage Services (Supply Of Equipment, Materials Etc)",,
,BOLDEJ IMPACT INTERNATIONAL LIMITED,234(0)8094915146,,Lagos,"Block 11 Farouk Aboaba, Street Isheri North Gra",,enquiries@boldejimpact.com; deji.ajayi@boldejimpact.com,Information & Communication,Providetelecommunications And Other It/ Engineering Services To The Oil And Gas Industry And Other Sectors,,
,TFW PARTNERS LIMITED,234(0)7051515151,,Lagos,8 Oduduwa Way Ikeja Gra,,info@tfwpartners.com; nonye@tfwpartners.com,Other Service Activities ,Project Management Consulting Services,,
,PHIXAM LIMITED,234(0)8022225886,,Lagos,"Babatunde Anjous Off Admiralty Way Plot 1, Block 21",,enikan111@gmail.com,Other Service Activities , ,,
,NEWREST ASL OIL & GAS LOGISTICS LTD,234(0)8159393540,,Lagos,No.1 Service Road Murtala Mohammed International Airport,,l.moussard@newrest.eu,Petroleum downstream,Flight Catering For Both International & Domestic Flights. The Entity Also Performs Catering,,
,MILE12 MARKET ONLINE,234(0)7033000368,,Lagos,14 Emina Crescent,,sales@mile12market.com,Other Service Activities , ,,
,WEBKRAFT IT SOLUTIONS LIMITED,234(0)7039790407,,Lagos,"38, Queen Street",,hello@webkraftng.com,Other Service Activities , ,,
,WAREHOUSE NETWORKS RESOURCE LIMITED,234(2)7091814,,Lagos,"16 Prince Bode Adebowale Crescent Off Chief Collins, Off Fola Osibo, Lekki Phase 1",,info@warehouseng.com,Wholesale/retail trade,Run And Maintain A Platform That Brings Sellers And Buyers Of Surplus Equipment In One Place. We Provide Auction And Direct Sale Services On Our Emarketplace,,
,ETCY SYSTEMS LIMITED,234(0)8099440203,,Lagos,No 56 Ogunfolu street Iti-mangoro,,josh@etcy.net,Information & Communication,Mobile App Development Services,,
,WAVETALK LIMITED,234(0)7002006000,,Lagos,Ogba-Ikeja,,info@wavetalk.com.ng,Other Service Activities , ,,
,WNM ENERGY LIMITED,234(1)4623300,,Lagos,"Plot 1619 Danmole Street, Victoria Island",,"ls@wnmltd.com, info@wnm-energy.com",Wholesale/retail trade,"To Engage In Trade (Wholesale & Retail) Of All Petroleum Products, Including But Not Limited To Liquefied Petroleum Gas (Lpg) Products",,
,TERASEGURO LIMITED,234(0)8077532237,,Lagos,5 Ladipo Latinwo Crescent Lekki,,consulting@teraseguro.com; iyiola.ogedengbe@teraseguro.com,Mining & Quarrying ,Drilling Services And Equipment Provider,,
,ORTELON LIMITED,234(0)8066457263,,Lagos,"Suite 24, Aisha Plaza Isheri, Alimosho",,chukwuanu1@yahoo.com,Other Service Activities , ,,
,ROLUS ENERGY RESOURCES LIMITED,234(0)8055490206,,Lagos,"No.8, Eko Street Parkview Estate",,support@rolusenergy.com; jimisolasanu@ymail.com,Other Service Activities ,"The Subject Company Is Engaged As An Agent To Provide Equipment/Material Supplies Such As Valves, Rings And Seal, Nuts And Bolts, Octg Goods, Pipes, Fittings, Nozzle, Flanges Etc, Manpower Services Such As Labour Supplies And Installation And Maintenance Of Valves",,
,SACOESSA NIGERIA LIMITED,234(0)9062343635,,Lagos,"No.1 Park Lane, Eket Akwa Ibom State",,info@sacoessanigeria.com,Petroleum downstream,"Engaged In Providing Services To The Marine, Oil And Gas Industry In Nigeriaprovides Technical Expertise And Procurement Services",,
,EXECUTIVE TRANSPORTS AND PROTOCOL SERVICES LIMITED,234(0)8135092018,,Lagos,"Suite A6, Princess And Angel Mall Opp. Lagos Business School , Lekki Peninsula",,solanesiama@yahoo.com,Other Service Activities , ,,
,JUCEE BIOCHEMICALS LTD,234(0)8026402698,,Lagos,12 Aanuoluwapo Street B/Stop Ilasamaja Isolo,,jubiochems@yahoo.com,Wholesale/retail trade,Importer Of Pharmaceuticals And Cosmetics Raw Materials,,
,HOLLAPORT TECHNOLOGIES LIMITED,234(0)9080792391,,Lagos,154 Muritala Mohammed Way Yaba,,info@hollaport.net; kehinde@hollaport.net,Information & Communication,"Create Mobile Application That Can Be Used To Make Payment, Transfer Funds And Chat At The Same Time",,
,TRANSAL INTEGRATED SERVICES LIMITED,234(0)7036499807,,Lagos,"Eunibrown House 195 Ikorodu Road, Palmgrove",,transal.integrated@gmail.com,Construction,"The Real Estate And Oil And Gas Sector. We Are Focused On The Quality Of Output, Services Rendered And Ensuring That Projects Are Accomlised Effectively, Efficiently And To The Highest Standards In Order To Ensure The Requirements Of Our Clients Are Met",,
,KRAVARK LIMITED,234(0)7061698616,,Lagos,"1, Tayo Oladimeji Close Alpha Beach, Lekki",,contact@cerchy.com,Other Service Activities , ,,
,AERIAL ROBOTIX UAV SERVICES LIMITED,234(1)2714327,,Lagos,3A General Ogomudia Boulevard Lekki 1,,info@aerial-robotix.com,Construction,"Service Provider Of Uav Inspections, Surveys, Surveillance And Mapping Services In The West African Region",,
,REEL INTEGRATED ENGINEERING TECH SERVICES LTD,234(0)7036223891,,Lagos,"16, Fatai Oloko Crescent Lowa Ikorodu",,realtechservnig@gmail.com,Other Service Activities ,"Distribution & Sales Of Security Seals In Nigeria, Provision Of Engineering & Procurement Services",,
,PETROSPECT LTD,234(0)8174699695,,Lagos,7 Bayo Olagoke Close Off Admiralty Road,,sales@petrospectng.com; contact@petrospectng.com,Other Service Activities ,Importation And Supply Of Petroleum Products E.G Automative Gas Oil Etc,,
,SOUGHT-AFTER INTERNATIONAL SYNERGY,234(1)8449828,,Lagos,Cluster D1 Flat 107 1004 Estate,,info@soughtafterinterng.com,Financial Services,Financial And Property Services Company,,
,ALTUM INTEGRATED SERVICES LTD,234(0)8035350451,,Lagos,"House 21 Road 2, Ikota Villa Estate Lekki-Epe Expressway",,info@altumgroupltd.com,Petroleum downstream,"Oil & Gas Servicing Company - Engineering, Procurement, Inspection, Installation, Construction Servicesmarine Supply & Terminal Operations",,
,GRAPHIC HEAD COMPANY,234(0)7028151157,,Lagos,"2, Adeshina Str Fadeyi Palmgrove",,graphichead4u@yahoo.com,Other Service Activities , ,,
,SOFTANCE,234(0)8187674775,,Lagos,Mercy Land Street Ibeju-Lekki,,isaiahtech1@gmail.com,Other Service Activities , ,,
,JJ-COM TECH LIMITED,234(0)8037551213,,Lagos,"10 A Close 3Rd Ave, Oteyi Garden Estate",,jjcomtechlimited@gmail.com,Other Service Activities , ,,
,VENTURE VANGUARD LIMITED,234(0)8082000403,,Lagos,16 Prince Bode Adebowale Crescent,,basidee@gmail.com,Other Service Activities , ,,
,CABRIO TECHNOLOGIES LIMITED,234(0)9096854040,,Lagos,"Block 58A, Omorinre Johnson Street Lekki Phase 1",,info@cabriotech.com,Other Service Activities , ,,
,OUR MASTER WEAVER LTD,234(0)8035540554,,Lagos,16Ac Milverton Road,,info@omwgroup.com,Other Service Activities ,We Offer Enviromental Services To Oil Majors,,
,PIONEER PROCUREMENT SYNERGY LIMITED,234(0)8032146803,,Lagos,Plot 65 Block 4 Babatunde Anjous Street Lekki Phase 1 Off Admiralty Way,,info@ppsynergy.com; bolaji.jegede@ppsynergy.com,Petroleum downstream,Engineering Equipment And Device Procurement For The Oil And Gas Sectors,,
,NULVER LIMITED,234(0)8107801532,,Lagos,6B Bendel Close Off Bishop Aboyade Close Street Victoria Island,,info@nulver.com; adeyemi.oba@nulver.com,Petroleum downstream,Equipment/Material Supply Services To Oil & Gas Industry,,
,ASPRO PETRA ENERGY LIMITED,234(0)8182227776,,Lagos,"No.33B, Alfred Rewane Road Ikoyi",,contactus@aspropetra.com; sandra.iweta@aspropetra.com,Petroleum downstream,"Aspro Petra Energy Offers Services To The Oil And Gas Sectors Covering Gas Processing Solutions, Procurement And Supply Chain Management As Well As Consulting",,
,JETBLUE SERVICES LIMITED,234(0)8033443555,,Lagos,"No.3, Alhaji Moshood Tijani Road Apapa",,jetblueservices@gmail.com,Petroleum downstream,"Marine Services -Ship Chandling ( Offshore And Onshore Vessel Supplies) , Procurement And Engineering Services",,
,ELERINMOSA RESOURCE HUB LIMITED,234(0)8126991220,,Lagos,"Oke-Awesin, Ede Road, Erin Osun Irepodun South Local Council Development Area",,info@elerinmosaresource.com.ng,Education,"Registrations/Enrolments, Online Registration For Private Candidates, Nysc Biometric Registration",,
,ACIER NIGERIA LIMITED,234(0)7066266431,,Lagos,76 Adeniyi Jones Avenue,,richard@acierlimited.com; acierltd@gmail.com,Agriculture,"Exporters Of Agricultural And Non-Agricultural Commodities And We Supply Chemicals, Equipment And Manpower To Oil And Gas And Services Industries",,
,ARKAD OFFSHORE LIMITED,234(0)8055113838,,Lagos,"6A,Bendel Close Off Bishop Aboyodae Cole Street Victoria Island",,arkadoffshore@gmail.com,Petroleum downstream,"Oil & Gas Services,Engineering, Procurement, Construction Fabrication, Installation And Commissioning Of Offshore Oil & Gas Facilities, Equipment Leasing, Decommissioning, Inspection, Maitenance, Consultancy, Enviromental Assessments, Marine Services, Survey, Diving And Rov, Subsea Intervention, Subsea Construction",,
,MNL ENERGY RESOURCES LTD,234(1)2778317,,Lagos,"Flat 26, Block 'D' Kofo Abayomi Street Eko Court Complex",,info@mnlenergy.com,Petroleum downstream,Offshore Inspection Services And Non-Destructive Testing,,
,OURANOS TECHNOLOGIES LIMITED,234(0)8167494512,,Lagos,"Redahlia Place, 43B Emina Crescen Off Toyin Street",,j.aransiola@ouranos.com.ng,Information & Communication,"We Are Ict Professionals And Leading Systems Integrator In The Field Of Information And Communication Technology (Ict) Solutions, It Supports And Services; Business Infrastructure And Applications Solution",,
,SIGNEXT ENERGY NIGERIA LIMITED,234(1)2918531,,Lagos,No 16 Ajasa Street Onikan,,info@signextenergy.com,Petroleum downstream,"Provision Of Procurement / Supply Chain Management; Operations & Maintenance Support; Andproject Management Services To The Oil, Gas And Chemicals Industries",,
,ETYQUE TECHNOLOGIES LIMITED,234(0)8036171537,,Abia,"Flat 5, Block 10 Lake Valencia Crescent Maitama",,ismiibakari@gmail.com,Other Service Activities , ,,
,MAYDAZ VENTURES LIMITED,234(0)8039286788,,Ogun,"4, Sanyaolu Street Afobaje Estate, Sango Ota",,maydazventuresltd@yahoo.com; adesina.adeyemi94@yahoo.com,Other Service Activities ,Agents Project Management Agency (Sales Scheme Execution),,
,COVENSOFT LIMITED,234(0)7034039252,,Lagos,"House 1A, Street Z, Road 5 Abraham Adesanya Estate",,deji.adesugba@covensoft.com,Other Service Activities , ,,
,RAHEEM KADIRI AJAO AND SONS NIG LTD,234(0)8186828679,,Lagos,"Abibatu Mogaji Idumota- Lagos 63 Coastes Street, Eb Metta, Mainland",,ayinlajimoh13@gmail.com; rakamo2011@yahoo.com,Wholesale/retail trade,"Import Stove And Sells, Engaged Into General Trade",,
,CAPITAL TRUST INVESTMENTS & ASSET MANAGEMENT LIMITED,234(1)4536706,,Lagos,8 Sumbo Jibowu Street Off Ribadu Road,,info@capitaltrustnigeria.com,Financial Services,"Provides Investment Management And Advisory Services Through Fund/Portfolio Management Vehicles, Loan Syndication, Real Estate Advisory And Development As Well As Financial Advisory",,
,TECHNOPACK INDUSTRIES LIMITED,234(0)8145463973,,Ogun,"Plot 2, Block X Road No-6, Area B Ogun State Housing Corporation Estate Ota",,management@dasconigeria.com,Manufacturing,Eps Manufacturing And Thermoforming,,
,SIMPLY GIFTS AND INTERIORS LTD,234(1)2957724,,Lagos,"No.19B, Olosa Street Victoria Island",,simplygiftsng@gmail.com; ifynwuke@yahoo.com,Other Service Activities ,"Supply Of Corporate Gifts, Promotional Gifts, Souvenirs, Toys, And Hampers. We Make, Revamp And Sell Furniture For Office And Home, Curtain & Blinds, Renovate Create And Design New Spaces, Interior Design Consulting For Homes And Offices",,
,COULDRON NIGERIA LIMITED,234(0)7033817667,,Kano,"No. 6, Dan Amarya House Maiduguri Road",,couldrons@yahoo.com,Construction,"Infrastructural Construction/Developer, General Contractor, Importer And Exporter, Security And Non-Security Printing, Project Manager And Many More",,
,AFRICAN DRILLING COMPANY LIMITED,234(0)8031849745,,Lagos,"71, Payre Crescent Apapa",,info@afridrilling.com,Petroleum downstream,"Supply Hoisting & Operation Of Drilling Rigs/Casing/Tubing/Running. To Carry On The Business Of Petroleum, Oil Gas Operator Including Mining, Exploration, Extract, Lifting & Manufacturing Or Otherwise",,
,THE CONTENT MAN NETWORK LTD,234(0)7085250097,,Lagos,"1A, Lola Holloway Omole Phase 1",,the1contentman@gmail.com,Other Service Activities , ,,
,CHRIST CHURCH CONSTRUCTION CO. LTD,234(53)321227,,Lagos,"Plot 266 No.59, Enerhan Road Etinlayong Crescent",,admin@christchurchconstn.com,Construction,"To Carry On The Business Of Construction, Building Services, In The Construction Of Buildings, Complexes, Roads, Highways, Bridges, Overhead Tanks, General Contractors, Technical Services For Solar Energy",,
,TANYOLARS GLOBALS SERVICES NIG LTD,234(0)8032316620,,Lagos,"No.175/176, Ago Suit 35 Jubusisko Plaza Ago Palace Way",,tanyolarsglobalsservicesltd@yahoo.com,Transport/storage,Haulage/Transportation Chandling Services/Offshore And Onshore Marketing And Management Consultancy Customs Licensed Agent Freight Forwarders Import And Export Services,,
,THE SOURCE COACHING LTD,234(0)8055199023,,Lagos,"Alma 9, Richmond Gate Estate Behind Meadowhall School, Elegushi",,adeyanju@thesourcecoaching.com,Other Service Activities ,One-On-One Professional Coaching For Managers & Team Leaders; On-Boarding & Acculturation Services For Expatriate New Hires,,
,MONAI MULTISOLUTION LTD,234(0)8035273667,,Lagos,"29A, Adediran Ajao Street Anthony Village",,manaogo2000@yahoo.com,Other Service Activities ,Procurement Services For Government Food Registration Lieneces For Corprate Organisations,,
,OPUS HIVE LIMITED,234(0)8108418512,,Lagos,"6 Efunleye Street,Off Talabi Street Adeniyi Jones, Ikeja",,femi@opushive.com;  info@opushive.com,Other Service Activities , ,,
,INTREPID OIL TRADING LTD,234(0)9062353817,,Lagos,"43, Churchgate Street Off Adeola Hopewell Street, Victoria Island",,info@intrepidoil.com,Petroleum downstream,"Oil & Gas, Supply & Distribution Of Petroleum Products Such As Automated Gas Oil (Ago), Premium Motor Spirit (Pms) Dual Purpose Kerosene (Dpk)",,
,DAIRA PROJECTS LIMITED,234(0)8149572437,,Lagos,Km 24 Lekki Epe Express Road Beside Holy Fire Evangelical Church,,aniekan.akpan@dairaprojects.com,Transport/storage,The Company Is Focused On 3 Areas. One Area Focusses On Natural Gas Transportation Advisory Services. This Business Area Looks At Introducing And Implementing It Solutions In The Upstream Natural Gas Transportation Segment That Will Aid In Bringing Nomination Techniques Up To Standards Adopted Across Europe,,
,DESIHOST SOLUTIONS LIMITED,234(0)9093714913,,Lagos,53 Adebola Street Off Adeniran Ogunsanya Street,,adeniyi@desihostng.com,Other Service Activities , ,,
,OKOWE INVESTMENTS LIMITED,234(0)8035103614,,Lagos,59 Dogwood Crescent Northern Foreshore Estate,,okoweinvestmentslimited@yahoo.com; iakpedeye@yahoo.com,Other Service Activities ,Geological Consultancy And Manpower Supply,,
,GREEN POPLAR NIG LTD,234(0)7038882645,,Lagos,"No.10, Adekunle Banjo Street Magodo Gra Phase 2 Shangisha",,greenpoplar17@gmail.com,information & Communication,"Distribution Of Linx Coding Machines, After Sales Services, Sales Of Ink And Solvent",,
,OKEOGHENE STANDARD INVESTMENT LIMITED,234(0)8035426896,,Lagos,No 3B Omo-Oba Olukolu Street Lgbo Efon Town Lekki Phase 1,,ishakaovie@yahoo.com,Other Service Activities ,"General Contracts/Procurement , Supply Chain Management",,
,CHUA NIGERIA LIMITED,234(0)8092345636,,Lagos,"No.23, Adekunle Fajuyi Way Gra Ikeja",,customercare@chuanigeria.com,Transport/storage,"Provides Marine Environment Management Consulting Services Our Offerings Includes: Hseq, Marine Environment Permitting And Compliance, Marine Regulatory Aprrovals",,
,MODERN LOGISTICS SERVICES LIMITED,234(0)8178788822,,Lagos,"No.22, King George V Road Onikan",,modernlog@yahoo.com,Other Service Activities ,"General Procurement, Logistics, Manpower Supply",,
,N F LIVESTOCK GENETICS INTERNATIONAL COMPANY LTD,234(0)8035695051,,Kano,"Plot 86, Sharada Industrial Estate Phase Ii",,nakudu@yahoo.com,Other Service Activities , ,,
,DEEN - BANJUS ENGINEERING LIMITED,234(0)8029467285,,Lagos,21/23 olakunle ajibade str. Ojota,,akinbolade13@yahoo.com,Other Service Activities , ,,
,RESIZAR KID TOONS LIMITED,234(0)8136676447,,Lagos,1B Glasom Close,,o.osisiogu@gmail.com,Other Service Activities , ,,
,OPSON VENTURES,234(0)8061358982,,Lagos,"3,Block 76,Phase 4,Adenijiadelee State",,dot1waju@yahoo.com,Other Service Activities , ,,
,PHOENIX TECHNOLOGICAL SOLUTIONS & CONSULTING LIMITED,234(0)8161513601,,Lagos,"16B, Niyi Okunubi Street Lekki Phase 1",,odun.kupolokun@phoenixltd.com.ng,Other Service Activities , ,,
,NIGITALEX INTERNATIONAL LIMITED#,234(0)9071674013,,Lagos,Suite 05 Ozde Plaza Osolo Way Ajao Estate,,info@nigitalex.com; chudyotigba@yahoo.co.uk,Wholesale/retail trade,"Import, Retail And Wholesale Of Shoes, Oil, Garments, Footwear",,
,XOWN SOLUTIONS LIMITED,234(0)8175657780,,Lagos,19 Toyin Street Ikeja,,sales@xownsolutions.com,Other Service Activities , ,,
,ZIGMA LIMITED,234(0)8034029950,,Lagos,15B Ruxton Road,,info@zigmaltd.com,Other Service Activities ,"Engineering Services, Drilling Waste Management & Soil And Environmental Remediation Services, Tank Cleaning, Produced Water Treatment, Waste Transportation & Disposal, Training Services, Manpower Supply",,
,REMPHIL SERVICES LIMITED,234(0)8022850200,,Lagos,"Road 48, H157 Vgc",,uneku.idumajogu@remphil.com,Other Service Activities , ,,
,PETROLI ENERGY MARKETING & SUPPLY LIMITED,234(0)8183333000,,Lagos,33 Kofo Abayomi Street Victoria Island,,epo@petrolienergy.com; finance@petrolienergy.com,Petroleum downstream,"Petroli Energy Limited Specialises In The Physical And Paper Trading Of Refined Products. We Have Excellent Exposure To The International Markets,And Are Able To Offer Maximum Value To Our Clients",,
,ELPIZO OIL & GAS LIMITED,234(0)8033386712,,Lagos,"7C Dayclar Court, Off New Creation Church Street Hon.E. Adedeji Street",,info@elpizo.com.ng; nusman@elpizo.com.ng,Petroleum downstream,"Supplier Of Oil & Gas Tools And Equipments, Supply, Installation And Maintenance Of Static And Non-Static Equipments",,
,EXCEL GLOBAL LINK ENTERPRISES,234(0)8033974029,,Lagos,"House 2 Close 2, Flour Mills Estate By Ayinke Timpson Drive Satellite Town",,excelgloballink@gmail.com; vivian.tobi@yahoo.com,Other Service Activities ,"Supplies Of Raw Materials To End User, Sales Of Industrial Chemical And Pharmaceuticals Raw Materials",,
,BUCKLER ORDNANCE SYSTEMS LIMITED,234(0)8095550008,,Lagos,"Block 98, Flat 5 Ijaye Lsdpc Housing Estate Ogba",,ayo@bucklerordnance.com,Other Service Activities ,"Security Consultant/Manufacturing, Repair And Maintenance Of Security Equipment And Vehicles",,
,ORIONCORE COMPANY LIMITED,234(0)7063744571,,Lagos,"Plot 3, Hakeem Dickson Lekki Phase 1",,orioncoreadmin@orioncoreltd.com,Transport/storage,"Provision Of Logistics Services, Procurement Services, Man Power/Labour Supply, Project Management And Hse Services To All Sectors Of The Economy Most Especially The Oil And Gas Sector",,
,730ONE LTD,234(0)8103991952,,Lagos,"Flat 510, 1004 Estate, Victoria Island",,o.ogunbodede@730one.com,Other Service Activities , ,,
,BRADE NETWORKS LIMITED,234(0)8035671975,,Lagos,"Plot 12, Sd 8D, Millennium Estate Lekki Phase I",,omessiri.odjada@bradenetworks.com,Other Service Activities , ,,
,2AM TECH LIMITED,234(0)8067716673,,Lagos,160 Awolowo Road,,sam.ishie@2am.ng; hello@2am.ng,Other Service Activities , ,,
,BRAINWORKS AUDIOVISUALS ENTERTAINMENTS,234(0)8092923939,,Lagos,2B Alhaji Kareem Street Agidingbi,,majeed1884@gmail.com,Other Service Activities , ,,
,UNITEAM GLOBAL RESOURCES LIMITED,234(0)8074833333,,Lagos,"35B, Abisogun Leigh Street Aguda Ogba",,info@uniteamng.com,Petroleum downstream,Oil & Gas Tools Supplier And Consumable Goods,,
,ACCELERATE COMMUNICATIONS LIMITED,234(0)7031554287,,Lagos,1665 Oyin Jolayemi St,,jite.ovueraye@acceleratetv.com,Other Service Activities , ,,
